Filename	**REDACTED**
Instrument name	HR20 **REDACTED**
Operator	**REDACTED**
rundate	**REDACTED**
Sample name	**REDACTED**
Geometry name	8 mm parallel plate, ETC Stainless steel, Disposable
Procedure name	Options
	Sample
	Options
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	Time sweep
	Stress relaxation
	End of test
proceduresegments	Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#Time sweep#Stress relaxation#End of test
[step]
Time sweep - 1
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement
MPa	MPa		rad/s	µN.m	min	°C	°	rad
1,55959	0,0244596	0,0156833	10,0001	1566,10	6,11	170,01	0,899755	2,00031e-3
1,56092	0,0245592	0,0157338	10,0001	1567,21	6,21	170,00	0,902644	1,99997e-3
1,56226	0,0247010	0,0158111	10,0001	1568,59	6,32	170,00	0,907075	1,99997e-3
1,56395	0,0249651	0,0159629	10,0001	1570,20	6,42	170,01	0,915780	1,99968e-3
1,56503	0,0249680	0,0159537	10,0001	1571,68	6,52	170,00	0,915250	2,00023e-3
1,56618	0,0250253	0,0159786	10,0001	1572,80	6,63	170,00	0,916674	2,00008e-3
1,56743	0,0251627	0,0160535	10,0001	1574,11	6,73	169,99	0,920963	1,99994e-3
1,56855	0,0252155	0,0160757	10,0001	1575,41	6,84	169,99	0,922233	2,00015e-3
1,57002	0,0253217	0,0161283	10,0001	1576,71	6,94	169,99	0,925248	1,99994e-3
1,57113	0,0252283	0,0160574	10,0001	1578,01	7,04	169,99	0,921177	2,00016e-3
1,57283	0,0255462	0,0162421	10,0001	1579,53	7,15	170,00	0,931770	1,99953e-3
1,57394	0,0254692	0,0161818	10,0001	1581,13	7,25	170,01	0,928306	2,00019e-3
1,57481	0,0254226	0,0161433	10,0001	1582,10	7,35	170,00	0,926095	2,00035e-3
1,57619	0,0255763	0,0162267	10,0001	1583,26	7,46	170,00	0,930876	1,99990e-3
1,57719	0,0255936	0,0162274	10,0001	1584,53	7,56	170,00	0,930910	2,00025e-3
1,57907	0,0258394	0,0163636	10,0001	1586,05	7,67	170,00	0,938720	1,99945e-3
1,58015	0,0257887	0,0163204	10,0001	1587,72	7,77	170,00	0,936238	2,00018e-3
1,58109	0,0256930	0,0162501	10,0001	1588,76	7,87	170,00	0,932205	2,00028e-3
1,58207	0,0256512	0,0162137	10,0001	1589,72	7,97	170,01	0,930112	2,00026e-3
1,58327	0,0257366	0,0162554	10,0001	1590,87	8,08	170,01	0,932502	2,00000e-3
1,58438	0,0257929	0,0162795	10,0001	1592,09	8,18	170,00	0,933882	2,00022e-3
1,58525	0,0257924	0,0162703	10,0001	1593,16	8,29	170,00	0,933347	2,00015e-3
1,58676	0,0259979	0,0163843	10,0001	1594,46	8,39	170,00	0,939882	1,99991e-3
1,58761	0,0260009	0,0163775	10,0001	1595,64	8,49	170,00	0,939490	2,00036e-3
1,58893	0,0261411	0,0164520	10,0001	1596,78	8,60	169,99	0,943761	1,99992e-3
1,58985	0,0261734	0,0164628	10,0001	1597,99	8,70	170,00	0,944380	2,00032e-3
1,59097	0,0262798	0,0165181	10,0001	1599,04	8,80	170,00	0,947548	2,00012e-3
1,59206	0,0263065	0,0165235	10,0001	1600,20	8,91	170,00	0,947856	2,00016e-3
1,59358	0,0265633	0,0166690	10,0001	1601,59	9,01	170,00	0,956192	1,99977e-3
1,59456	0,0265528	0,0166521	10,0001	1602,94	9,11	169,99	0,955224	2,00031e-3
1,59566	0,0266259	0,0166864	10,0001	1603,99	9,22	169,99	0,957188	2,00012e-3
1,59680	0,0266050	0,0166615	10,0001	1605,15	9,32	169,99	0,955752	2,00017e-3
1,59835	0,0268628	0,0168066	10,0001	1606,57	9,43	170,00	0,964070	1,99973e-3
1,59925	0,0267930	0,0167535	10,0001	1607,92	9,53	169,99	0,961024	2,00034e-3
1,60026	0,0267997	0,0167472	10,0001	1608,86	9,63	170,00	0,960657	2,00025e-3
1,60128	0,0268710	0,0167810	10,0001	1609,95	9,73	170,01	0,962593	2,00015e-3
1,60217	0,0268337	0,0167483	10,0001	1611,00	9,84	170,01	0,960718	2,00032e-3
1,60305	0,0268053	0,0167215	10,0001	1611,92	9,94	170,00	0,959176	2,00024e-3
1,60490	0,0270592	0,0168603	10,0001	1613,38	10,04	170,00	0,967136	1,99961e-3
1,60574	0,0270141	0,0168235	10,0001	1614,84	10,15	169,99	0,965020	2,00036e-3
1,60696	0,0270942	0,0168606	10,0001	1615,83	10,25	169,99	0,967143	2,00014e-3
1,60789	0,0270113	0,0167992	10,0001	1616,91	10,36	169,99	0,963623	2,00027e-3
1,60896	0,0271476	0,0168728	10,0001	1618,03	10,46	169,99	0,967837	2,00003e-3
1,61055	0,0272175	0,0168995	10,0001	1619,51	10,56	170,00	0,969366	1,99983e-3
1,61159	0,0271793	0,0168649	10,0001	1620,92	10,67	170,00	0,967377	2,00024e-3
1,61240	0,0271096	0,0168132	10,0001	1621,83	10,77	170,00	0,964412	2,00041e-3
